Set	Total
{lincosamide/pleuromutilin/streptogramin, multidrug, without defined classification;lincosamide ;nucleoside ;pleuromutilin ;streptogramin a ;streptogramin b ;streptogramin}	1
{glycopeptide, lipopeptide, peptide, polymyxin}	1
{beta-lactam, carbapenem;cephalosporin;monobactam;penicillin beta-lactam}	1
{colistin, lipopeptide, peptide, polymyxin, polypeptide}	3
{MLS, lincosamide/streptogramin, ml}	1
{colistin, lipopeptide, peptide, polypeptide}	1
{fluoroquinolone, fosfomycin, quinolone}	2
{disinfecting agents and antiseptics;macrolide, drug_and_biocide_resistance, efflux, multidrug}	1
{aminoglycoside ;cephalosporin;disinfecting agents and antiseptics;macrolide ;peptide ;rifamycin ;tetracycline, multidrug}	2
{aminoglycoside ;carbapenem;cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;peptide, drug_and_biocide_resistance, multidrug}	1
{aminoglycoside ;carbapenem;cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;peptide, drug_and_biocide_resistance}	1
{lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin a ;streptogramin b ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{disinfecting agents and antiseptic, quaternary ammonium, quinolone}	5
{disinfecting agents and antiseptic, multidrug, quaternary ammonium, quinolone}	1
{amphenicol, glycopeptide ;lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycopeptide ;glycylcycline;oxazolidinone ;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{beta-lactam, glycopeptide, peptide}	1
{lipopeptide, na, peptide}	1
{aminoglycoside, fluoride}	1
{aminocoumarin ;carbapenem;peptide ;rifamycin, multidrug}	1
{colistin, glycopeptide, lipopeptide, peptide}	1
{aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;phenicol ;tetracycline, colistin, multidrug}	2
{diaminopyrimidine ;fluoroquinolone ;phenicol, multidrug}	1
{macrolide ;streptogramin, macrolide/streptogramin, ml, multidrug}	3
{aminoglycoside, efflux}	2
{disinfecting agents and antiseptic, qa_compound, quaternary ammonium}	3
{aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone}	1
{aminoglycoside, aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone, multidrug}	1
{MLS, aminoglycoside ;diaminopyrimidine ;macrolide ;oxazolidinone ;phenicol, drug_and_biocide_resistance, macrolide/phenicol, multidrug}	1
{aminoglycoside ;disinfecting agents and antiseptics;fluoroquinolone ;penicillin beta-lactam;tetracycline, drug_and_biocide_resistance, multidrug}	1
{disinfecting agents and antiseptic, na}	1
{disinfecting agents and antiseptic, multidrug, qa_compound, quaternary ammonium}	1
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;macrolide ;penicillin beta-lactam;peptide ;phenicol ;rifamycin ;tetracycline, multidrug}	1
{colistin, glycopeptide, lipopeptide, peptide, polymyxin, polypeptide}	1
{mupirocin, mupirocin-like}	3
{drug_and_biocide_resistance, glycopeptide, peptide}	1
{na, peptide ;rifamycin, rifampin}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/pleuromutilin, multidrug}	1
{macrolide, macrolide ;phosphonic acid ;streptogramin, ml, multidrug}	1
{MLS, lincosamide/macrolide, macrolide, ml}	1
{aminoglycoside, tuberactinomycin}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/streptogramin, multidrug}	1
{chloramphenicol, nitroimidazole}	4
{bacitracin, nitroimidazole}	1
{MLS, nitroimidazole}	2
{colistin, glycopeptide, peptide, polymyxin}	1
{colistin, lipopeptide, peptide}	2
{colistin, glycopeptide, peptide}	3
{disinfecting agents and antiseptics;nucleoside, nucleoside, sulfonamide}	1
{amphenicol, lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{aminoglycoside ;diaminopyrimidine ;tetracycline, trimethoprim}	1
{MLS, macrolide, macrolide ;tetracycline, ml}	1
{lincosamide ;nucleoside ;streptogramin a ;streptogramin, lincosamide/pleuromutilin/streptogramin}	1
{lincosamide/pleuromutilin/streptogramin, without defined classification;lincosamide ;pleuromutilin}	1
{fluoroquinolone, not found}	1
{disinfecting agents and antiseptics;macrolide ;tetracycline, efflux}	1
{multidrug, quinolone}	2
{aminoglycoside, na}	6
{MLS, macrolide/streptogramin, ml}	3
